version,k,m,size,comps,swaps,stime,utime,totaltime
1,0,0,1000,12216,8163,0,0.035346,0.035346
1,0,0,5000,80978,48255,0,0.233393,0.233393
1,0,0,10000,169782,104094,7.5e-05,0.390191,0.390266
1,0,0,50000,1013316,602781,0.003719,2.34251,2.34622
1,0,0,100000,2375266,1253139,7.3e-05,4.49405,4.49412
1,0,0,500000,12698371,7119150,8.2e-05,25.4134,25.4135
1,0,0,1000000,26375523,14995683,0.044373,53.6263,53.6707
2,3,0,1000,14197,8049,0,0.041874,0.041874
2,3,0,5000,84859,48642,4.3e-05,0.202826,0.202869
2,3,0,10000,176739,104157,5.1e-05,0.381155,0.381206
2,3,0,50000,1086052,597150,3e-05,2.22853,2.22857
2,3,0,100000,2268410,1262586,0,4.55306,4.55306
2,3,0,500000,12797212,7161897,0,25.6284,25.6284
2,3,0,1000000,28734340,14871702,0.004083,53.1174,53.1215
2,5,0,1000,12813,8121,0,0.040911,0.040911
2,5,0,5000,78641,48960,0,0.18026,0.18026
2,5,0,10000,181664,103125,0,0.379074,0.379074
2,5,0,50000,1132074,597957,0,2.20831,2.20831
2,5,0,100000,2297859,1271694,0,4.59378,4.59378
2,5,0,500000,13140073,7090197,3.5e-05,25.4689,25.4689
2,5,0,1000000,26691267,15116211,0.003677,54.2902,54.2939
2,7,0,1000,14559,7902,0,0.039658,0.039658
2,7,0,5000,82703,48408,0.000487,0.178669,0.179156
2,7,0,10000,187301,102801,0.000315,0.378154,0.378469
2,7,0,50000,1006789,606771,7.5e-05,2.22479,2.22487
2,7,0,100000,2325067,1260537,0.00015,4.58035,4.5805
2,7,0,500000,12531812,7177518,0.000197,25.919,25.9192
2,7,0,1000000,26372485,15059271,0,53.9303,53.9303
3,0,10,1000,9814,7659,0,0.034016,0.034016
3,0,10,5000,68706,46113,0,0.144565,0.144565
3,0,10,10000,145117,99960,0.0002,0.312395,0.312595
3,0,10,50000,889290,581112,0,1.84672,1.84672
3,0,10,100000,2126318,1209918,0,3.84113,3.84113
3,0,10,500000,11458421,6901629,0.003926,22.1448,22.1488
3,0,10,1000000,23893643,14559795,0.00016,46.8925,46.8927
3,0,100,1000,7468,5784,0,0.02628,0.02628
3,0,100,5000,56813,36699,0,0.110508,0.110508
3,0,100,10000,120669,81540,0,0.245164,0.245164
3,0,100,50000,767581,488283,0.000127,1.52924,1.52936
3,0,100,100000,1881741,1022628,0.000212,3.32845,3.32867
3,0,100,500000,10236559,5965656,0,18.6479,18.6479
3,0,100,1000000,21441927,12687969,0,39.7786,39.7786
4,0,0,1000,12216,8163,0,0.039151,0.039151
4,0,0,5000,80978,48255,0,0.17727,0.17727
4,0,0,10000,169782,104094,0.000231,0.378787,0.379018
4,0,0,50000,1013316,602781,0,2.20321,2.20321
4,0,0,100000,2375266,1253139,0,4.50106,4.50106
4,0,0,500000,12698371,7119150,1.2e-05,25.3479,25.3479
4,0,0,1000000,26375523,14995683,0,55.4525,55.4525
5,0,0,1000,12216,8163,0.000826,0.052829,0.053655
5,0,0,5000,80978,48255,0,0.190495,0.190495
5,0,0,10000,169782,104094,0,0.382059,0.382059
5,0,0,50000,1013316,602781,0.000176,2.19318,2.19336
5,0,0,100000,2375266,1253139,9.6e-05,4.52002,4.52012
5,0,0,500000,12698371,7119150,0.000146,25.7786,25.7788
5,0,0,1000000,26375523,14995683,0,53.5051,53.5051
7,0,0,1000,5461,15079,0,0.087733,0.087733
7,0,0,5000,32768,87118,0,0.504647,0.504647
7,0,0,10000,70525,184230,0,1.01454,1.01454
7,0,0,50000,411034,1037278,0,3.6677,3.6677
7,0,0,100000,870856,2174562,3e-06,7.3508,7.3508
7,0,0,500000,4951756,12023016,0.003943,41.1688,41.1727
7,0,0,1000000,10399991,25047780,0.004041,86.0073,86.0114
6,0,0,1000,8676,19952,0.006861,0.095177,0.102038
6,0,0,5000,55278,123616,0.004125,0.440413,0.444538
6,0,0,10000,120371,267232,0.028149,0.9814,1.00955
6,0,0,50000,718432,1568928,0.152007,5.68567,5.83768
6,0,0,100000,1536589,3337856,0.399943,11.7984,12.1983
6,0,0,500000,8837489,18951424,3.47558,68.2503,71.7259
6,0,0,1000000,18675108,39902848,10.9636,141.463,152.426
