version,k,m,size,comps,swaps,stime,utime,totaltime
1,0,0,1000,11869,8064,0,0.046971,0.046971
1,0,0,5000,79323,48039,0.000212,0.213306,0.213518
1,0,0,10000,186665,102243,0,0.397487,0.397487
1,0,0,50000,1083820,593265,6.1e-05,2.29759,2.29765
1,0,0,100000,2334937,1263036,8.8e-05,4.53688,4.53696
1,0,0,500000,12460688,7173159,0.000125,25.8352,25.8353
1,0,0,1000000,27649894,14898153,0.003902,53.0502,53.0541
2,3,0,1000,12993,8094,0,0.03742,0.03742
2,3,0,5000,83803,48303,0,0.179563,0.179563
2,3,0,10000,175625,104451,5e-06,0.382518,0.382523
2,3,0,50000,1022770,605658,0,2.22254,2.22254
2,3,0,100000,2167921,1277808,0,4.60838,4.60838
2,3,0,500000,12437775,7234953,0,25.8632,25.8632
2,3,0,1000000,26342560,15098979,0,53.9289,53.9289
2,5,0,1000,12914,8160,0.001372,0.03999,0.041362
2,5,0,5000,78777,49005,0.000505,0.179803,0.180308
2,5,0,10000,180156,102900,0.00017,0.37934,0.37951
2,5,0,50000,1088003,600099,0.000423,2.22541,2.22584
2,5,0,100000,2312216,1271292,0.000268,4.934,4.93426
2,5,0,500000,12929991,7141749,7.3e-05,25.6234,25.6235
2,5,0,1000000,27762874,14983848,1.7e-05,53.7486,53.7486
2,7,0,1000,14712,8091,0.003815,0.03616,0.039975
2,7,0,5000,79463,48666,0.000299,0.180081,0.18038
2,7,0,10000,173118,104175,0,0.382458,0.382458
2,7,0,50000,1040517,603576,0.000284,2.21773,2.21802
2,7,0,100000,2241873,1272696,0.000148,4.61239,4.61254
2,7,0,500000,12876391,7162836,0,25.961,25.961
2,7,0,1000000,26474234,15039783,0.000134,53.8826,53.8828
3,0,10,1000,9324,7677,0.001196,0.031333,0.032529
3,0,10,5000,67086,45879,0.000408,0.143719,0.144127
3,0,10,10000,161983,97905,6.2e-05,0.306851,0.306913
3,0,10,50000,960092,572019,0,2.0977,2.0977
3,0,10,100000,2087721,1219674,0.000114,3.87186,3.87197
3,0,10,500000,11222486,6955686,0.000195,22.2014,22.2016
3,0,10,1000000,25165820,14462028,0.000154,46.2929,46.293
3,0,100,1000,7090,5781,0.001097,0.025582,0.026679
3,0,100,5000,54829,36924,0.000698,0.111954,0.112652
3,0,100,10000,136700,79278,1.2e-05,0.23902,0.239032
3,0,100,50000,837311,479010,0,1.51095,1.51095
3,0,100,100000,1845384,1032147,0,3.19427,3.19427
3,0,100,500000,9994080,6017508,9.5e-05,18.8101,18.8102
3,0,100,1000000,22728545,12587508,0,39.4999,39.4999
4,0,0,1000,11869,8064,0,0.039074,0.039074
4,0,0,5000,79323,48039,0.000206,0.176556,0.176762
4,0,0,10000,186665,102243,2.5e-05,0.372609,0.372634
4,0,0,50000,1083820,593265,0,2.16426,2.16426
4,0,0,100000,2334937,1263036,0,4.53122,4.53122
4,0,0,500000,12460688,7173159,0,25.5345,25.5345
4,0,0,1000000,27649894,14898153,0.000163,53.1165,53.1167
5,0,0,1000,11869,8064,0,0.04071,0.04071
5,0,0,5000,79323,48039,0,0.187664,0.187664
5,0,0,10000,186665,102243,2.9e-05,0.373088,0.373117
5,0,0,50000,1083820,593265,0,2.18535,2.18535
5,0,0,100000,2334937,1263036,0,4.53064,4.53064
5,0,0,500000,12460688,7173159,0.003769,25.5476,25.5514
5,0,0,1000000,27649894,14898153,1.2e-05,53.1632,53.1632
7,0,0,1000,5437,15050,0,0.080733,0.080733
7,0,0,5000,32707,87194,0.000131,0.483035,0.483166
7,0,0,10000,70394,184184,0.003765,1.0936,1.09736
7,0,0,50000,410302,1037538,0.001353,3.64628,3.64764
7,0,0,100000,871171,2174798,0.000988,7.42413,7.42511
7,0,0,500000,4949748,12024489,0.009697,41.4914,41.5011
7,0,0,1000000,10401800,25048656,0.004657,86.6377,86.6423
6,0,0,1000,8705,19952,0.001694,0.131741,0.133435
6,0,0,5000,55206,123616,0.015842,0.461362,0.477204
6,0,0,10000,120313,267232,0.024065,0.928655,0.95272
6,0,0,50000,718339,1568928,0.155959,5.44644,5.60239
6,0,0,100000,1536490,3337856,0.38402,11.6719,12.0559
6,0,0,500000,8836712,18951424,3.4791,70.2187,73.6978
6,0,0,1000000,18674259,39902848,10.7018,141.587,152.289
