version,k,m,size,comps,swaps,stime,utime,totaltime
1,0,0,1000,12802,8196,0.00195,0.039658,0.041608
1,0,0,5000,81929,48165,0.000381,0.179752,0.180133
1,0,0,10000,167095,104175,0.000126,0.391669,0.391795
1,0,0,50000,1068794,597924,0.000302,2.20561,2.20591
1,0,0,100000,2190889,1265505,0.000208,4.55787,4.55808
1,0,0,500000,12589140,7160283,0,25.4485,25.4485
1,0,0,1000000,26270048,15054474,0,53.7966,53.7966
2,3,0,1000,12389,8214,0.001049,0.040391,0.04144
2,3,0,5000,80416,48768,0,0.178896,0.178896
2,3,0,10000,182353,103947,0,0.379012,0.379012
2,3,0,50000,1063792,599127,0.000244,2.18949,2.18974
2,3,0,100000,2262384,1275783,0,4.65215,4.65215
2,3,0,500000,13313900,7155606,0.000145,25.5874,25.5876
2,3,0,1000000,27002148,15051162,0,53.7197,53.7197
2,5,0,1000,12742,8157,0,0.039877,0.039877
2,5,0,5000,89297,47949,0.000177,0.190173,0.19035
2,5,0,10000,172298,104589,0,0.38117,0.38117
2,5,0,50000,1068009,596586,0,2.18623,2.18623
2,5,0,100000,2187700,1276647,0,4.60904,4.60904
2,5,0,500000,13589275,7101156,0,25.7735,25.7735
2,5,0,1000000,26974232,14984571,0,53.7409,53.7409
2,7,0,1000,12621,8283,0,0.039791,0.039791
2,7,0,5000,77767,49269,0,0.182389,0.182389
2,7,0,10000,175129,104265,0,0.384227,0.384227
2,7,0,50000,1078059,600066,3.2e-05,2.232,2.23203
2,7,0,100000,2205706,1273110,0,4.60918,4.60918
2,7,0,500000,13353878,7105731,0,25.5569,25.5569
2,7,0,1000000,27201729,15000270,0.000139,53.721,53.7211
3,0,10,1000,10326,7728,0.002923,0.031422,0.034345
3,0,10,5000,69515,45933,0,0.145173,0.145173
3,0,10,10000,142291,99690,0.000179,0.311578,0.311757
3,0,10,50000,944744,575967,0.000477,1.84424,1.84472
3,0,10,100000,1942993,1222392,0.000186,3.87294,3.87312
3,0,10,500000,11346541,6941670,0.000261,22.2701,22.2704
3,0,10,1000000,23786389,14617686,0,47.0933,47.0933
3,0,100,1000,7870,5808,0,0.025273,0.025273
3,0,100,5000,57235,36702,0,0.110305,0.110305
3,0,100,10000,118500,80895,0,0.244377,0.244377
3,0,100,50000,822361,482319,7.8e-05,1.50423,1.50431
3,0,100,100000,1698700,1033683,0,3.18238,3.18238
3,0,100,500000,10127015,6006603,4.3e-05,18.7995,18.7995
3,0,100,1000000,21348053,12745533,2.7e-05,40.026,40.0261
4,0,0,1000,12802,8196,0,0.036878,0.036878
4,0,0,5000,81929,48165,7.9e-05,0.17647,0.176549
4,0,0,10000,167095,104175,7.3e-05,0.378205,0.378278
4,0,0,50000,1068794,597924,0,2.19007,2.19007
4,0,0,100000,2190889,1265505,5.6e-05,4.52366,4.52372
4,0,0,500000,12589140,7160283,0,25.4787,25.4787
4,0,0,1000000,26270048,15054474,0,53.4552,53.4552
5,0,0,1000,12802,8196,0,0.049546,0.049546
5,0,0,5000,81929,48165,0,0.280965,0.280965
5,0,0,10000,167095,104175,0,0.37801,0.37801
5,0,0,50000,1068794,597924,0,2.19447,2.19447
5,0,0,100000,2190889,1265505,0,4.56259,4.56259
5,0,0,500000,12589140,7160283,0,25.4885,25.4885
5,0,0,1000000,26270048,15054474,0,54.9805,54.9805
7,0,0,1000,5416,15077,0,0.076528,0.076528
7,0,0,5000,32653,87154,0,0.490554,0.490554
7,0,0,10000,70596,184192,0,1.0394,1.0394
7,0,0,50000,410933,1037448,0,3.65965,3.65965
7,0,0,100000,871276,2175111,0,7.35476,7.35476
7,0,0,500000,4950208,12024443,0,40.9204,40.9204
7,0,0,1000000,10402005,25046933,0,86.4092,86.4092
6,0,0,1000,8704,19952,0.007909,0.093909,0.101818
6,0,0,5000,55202,123616,0.016004,0.430169,0.446173
6,0,0,10000,120443,267232,0.016137,1.0608,1.07694
6,0,0,50000,718192,1568928,0.120225,5.50619,5.62642
6,0,0,100000,1536322,3337856,0.443891,11.7491,12.193
6,0,0,500000,8837634,18951424,3.51147,67.2534,70.7648
6,0,0,1000000,18673747,39902848,10.7695,141.539,152.309
