version,k,m,size,comps,swaps,stime,utime,totaltime
1,0,0,1000,13013,8034,0,0.040395,0.040395
1,0,0,5000,82770,48069,0.002079,0.18211,0.184189
1,0,0,10000,171154,104733,0,0.391076,0.391076
1,0,0,50000,1028236,598926,0,2.21289,2.21289
1,0,0,100000,2201070,1274769,0,4.582,4.582
1,0,0,500000,12231195,7181778,0.003983,25.6151,25.6191
1,0,0,1000000,26848466,14956371,0.008117,53.275,53.2831
2,3,0,1000,13195,8211,0,0.039495,0.039495
2,3,0,5000,85306,48648,0,0.180448,0.180448
2,3,0,10000,175375,104082,0,0.382535,0.382535
2,3,0,50000,1068336,601035,0,2.21921,2.21921
2,3,0,100000,2204346,1277898,8.5e-05,4.63841,4.6385
2,3,0,500000,12692546,7212192,0,26.2302,26.2302
2,3,0,1000000,27004678,15026565,0,53.8636,53.8636
2,5,0,1000,13964,7971,0,0.03778,0.03778
2,5,0,5000,80404,48879,0.000126,0.180721,0.180847
2,5,0,10000,177326,104229,0,0.383748,0.383748
2,5,0,50000,1101924,595803,3e-05,2.18863,2.18866
2,5,0,100000,2358489,1257465,0,4.56716,4.56716
2,5,0,500000,13040161,7129416,0.000278,26.1173,26.1176
2,5,0,1000000,27068844,14992803,0,53.8143,53.8143
2,7,0,1000,13504,8109,0.001189,0.057694,0.058883
2,7,0,5000,89675,48018,0,0.18609,0.18609
2,7,0,10000,177937,104274,0.000169,0.38594,0.386109
2,7,0,50000,1057754,599919,1e-05,2.21405,2.21406
2,7,0,100000,2215844,1278675,9.5e-05,4.68688,4.68697
2,7,0,500000,12775737,7211727,0.000384,26.2407,26.2411
2,7,0,1000000,26377836,15085470,0.000223,54.1935,54.1938
3,0,10,1000,10567,7557,0,0.030955,0.030955
3,0,10,5000,70359,45831,0,0.143457,0.143457
3,0,10,10000,146491,100224,0,0.313526,0.313526
3,0,10,50000,903839,577092,0.000143,1.86833,1.86848
3,0,10,100000,1952416,1230867,8.8e-05,3.92349,3.92357
3,0,10,500000,10988506,6965109,0.000143,22.2828,22.283
3,0,10,1000000,24367383,14521575,0.000127,46.7174,46.7175
3,0,100,1000,8154,5892,0,0.026189,0.026189
3,0,100,5000,57739,36144,0.000213,0.10989,0.110103
3,0,100,10000,122542,81786,0.000251,0.25028,0.250531
3,0,100,50000,781882,483657,0,1.5147,1.5147
3,0,100,100000,1703402,1042272,0,3.23375,3.23375
3,0,100,500000,9772373,6027687,3e-05,18.921,18.921
3,0,100,1000000,21923477,12655554,0.000389,40.19,40.1903
4,0,0,1000,13013,8034,0,0.037608,0.037608
4,0,0,5000,82770,48069,4.6e-05,0.175164,0.17521
4,0,0,10000,171154,104733,3.3e-05,0.384029,0.384062
4,0,0,50000,1028236,598926,0,2.19234,2.19234
4,0,0,100000,2201070,1274769,0,4.574,4.574
4,0,0,500000,12231195,7181778,0,25.6596,25.6596
4,0,0,1000000,26848466,14956371,0,53.362,53.362
5,0,0,1000,13013,8034,0.002018,0.035352,0.03737
5,0,0,5000,82770,48069,0,0.176506,0.176506
5,0,0,10000,171154,104733,0.000204,0.38182,0.382024
5,0,0,50000,1028236,598926,7.4e-05,2.20275,2.20283
5,0,0,100000,2201070,1274769,0,4.57395,4.57395
5,0,0,500000,12231195,7181778,0.000106,25.6434,25.6435
5,0,0,1000000,26848466,14956371,0.000176,53.6581,53.6583
7,0,0,1000,5430,15108,0.00244,0.083333,0.085773
7,0,0,5000,32668,87090,0.001704,0.488077,0.489781
7,0,0,10000,70662,184111,6e-05,1.09327,1.09333
7,0,0,50000,410600,1037469,0.008867,3.83859,3.84746
7,0,0,100000,870895,2174834,0.000698,7.38265,7.38334
7,0,0,500000,4952271,12023940,0.001128,40.9246,40.9257
7,0,0,1000000,10399538,25048673,0.00058,87.0003,87.0009
6,0,0,1000,8711,19952,0.020994,0.079509,0.100503
6,0,0,5000,55299,123616,0.016633,0.428362,0.444995
6,0,0,10000,120440,267232,0.020087,0.963713,0.9838
6,0,0,50000,717874,1568928,0.152246,5.49418,5.64643
6,0,0,100000,1535947,3337856,0.42381,11.6639,12.0877
6,0,0,500000,8837559,18951424,3.54366,67.6327,71.1764
6,0,0,1000000,18674132,39902848,10.9311,141.227,152.158
